instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,instanceCount,arrivalRate,delay,
10,10,81.3851257,10,45,87.75379752,10,80,95.26925609,10,105,104.8995217,10,115,109.8486426,10,125,113.0915232,10,135,120.9151779,10,145,131.7219017,10,155,136.8370881,10,165,149.560879,10,175,178.1585036,10,185,194.9292629,10,190.6666667,926.1298374,10,198,3891.873367,10,205.3333333,12719.16557,10,212.6666667,30884.87699,10,220,51983.1931,
9,9,80.0652819,9,40.5,86.85923357,9,72,95.8124079,9,94.5,104.4676316,9,103.5,108.6626247,9,112.5,114.3071906,9,121.5,124.0959499,9,130.5,127.5605799,9,139.5,144.8744982,9,148.5,200.4130513,9,157.5,249.9872839,9,166.5,491.9184447,9,171.6,384.1490638,9,178.2,1239.70896,9,184.8,7873.013791,9,191.4,23034.35914,9,198,44902.4662,
8,8,81.05877483,8,36,87.13195343,8,64,95.39635073,8,84,108.684724,8,92,115.818788,8,100,122.4118041,8,108,134.5341245,8,116,151.2626688,8,124,169.3429,8,132,206.4285139,8,140,230.5491645,8,148,381.642249,8,152.5333333,14035.51899,8,158.4,24503.34444,8,164.2666667,26103.15492,8,170.1333333,36515.88751,8,176,54562.60668,
7,7,83.69493131,7,31.5,91.10191619,7,56,98.71586263,7,73.5,110.6199422,7,80.5,116.0258152,7,87.5,124.1730048,7,94.5,131.9745325,7,101.5,153.0089792,7,108.5,163.7409846,7,115.5,180.8829099,7,122.5,249.8195524,7,129.5,341.7216487,7,133.4666667,469.4637442,7,138.6,1449.227084,7,143.7333333,4691.397929,7,148.8666667,16302.38861,7,154,38080.9418,
6,6,83.59615385,6,27,90.22275288,6,48,100.8547936,6,63,112.6670555,6,69,117.1781319,6,75,126.9249138,6,81,138.049557,6,87,148.4434266,6,93,176.1546739,6,99,191.0166544,6,105,229.3415531,6,111,371.5031409,6,114.4,415.0629473,6,118.8,1330.650746,6,123.2,4995.55419,6,127.6,16665.36988,6,132,34551.00562,
5,5,84.08139535,5,22.5,89.4787186,5,40,98.93719341,5,52.5,108.2845642,5,57.5,117.87789,5,62.5,125.4302434,5,67.5,128.4293619,5,72.5,152.9103656,5,77.5,175.7554196,5,82.5,184.3021763,5,87.5,217.9488622,5,92.5,306.9803571,5,95.33333333,649.2931865,5,99,686.0985478,5,102.6666667,1883.771372,5,106.3333333,7421.081621,5,110,22391.78934,
4,4,85.88107203,4,18,92.46614583,4,32,100.2080117,4,42,116.8173384,4,46,119.7052789,4,50,124.0706693,4,54,133.75094,4,58,146.279661,4,62,167.9484844,4,66,184.3415115,4,70,231.7000414,4,74,268.2564898,4,76.26666667,341.4316593,4,79.2,436.9391223,4,82.13333333,2614.289757,4,85.06666667,8494.303651,4,88,19551.1098,
3,3,89.82850521,3,13.5,86.87629387,3,24,94.13338789,3,31.5,100.652752,3,34.5,102.5926829,3,37.5,104.2473203,3,40.5,109.0222276,3,43.5,112.402984,3,46.5,114.5391653,3,49.5,122.5779041,3,52.5,128.3678493,3,55.5,140.6314215,3,57.2,438.2974429,3,59.4,691.1854241,3,61.6,1034.398908,3,63.8,4535.235757,3,66,14707.81962,
2,2,88.46678322,2,9,85.86189258,2,16,86.36312964,2,21,90.29767068,2,23,91.37597011,2,25,93.26974279,2,27,92.66658428,2,29,98.77502511,2,31,96.03746337,2,33,100.0226476,2,35,103.3676167,2,37,103.0277926,2,38.13333333,411.504991,2,39.6,573.2541112,2,41.06666667,915.1837369,2,42.53333333,3154.856784,2,44,13907.15743,
1,1,99.03021148,1,4.5,83.95560572,1,8,84.16773676,1,10.5,83.74872935,1,11.5,85.35466977,1,12.5,86.77762876,1,13.5,88.21894484,1,14.5,86.44550193,1,15.5,89.68957397,1,16.5,88.28822706,1,17.5,88.68486116,1,18.5,91.55571557,1,19.06666667,634.8031523,1,19.8,638.6129676,1,20.53333333,625.7883657,1,21.26666667,1847.988854,1,22,3075.681825,
