23
VM,Load,Load Frac,Avg Delay
4,1152.0,288.0,2.1756969607598813
4,1224.0,306.0,2.729487144651301
4,1296.0,324.0,3.4493511904364977
4,1368.0,342.0,4.42324113832819
4,1440.0,360.0,5.844753048770138
4,1512.0,378.0,7.668100509030798
4,1584.0,396.0,10.279604617622542
4,1656.0,414.0,13.507545548426933
4,1728.0,432.0,17.389014326953177
8,304.0,38.0,0.2748313665808211
8,608.0,76.0,0.335109035732942
8,912.0,114.0,0.4214061830050203
8,1216.0,152.0,0.5380756122269678
8,1520.0,190.0,0.7184981776726724
8,1611.2000000000003,201.40000000000003,0.7720615607298016
8,1702.4,212.8,0.8344826587432866
8,1793.6000000000001,224.20000000000002,0.9066690316374839
8,1884.8,235.6,1.0037719741091844
8,1976.0,247.0,1.1336908952565599
8,2067.2000000000003,258.40000000000003,1.25076104487358
8,2158.4,269.8,1.3375624732869134
8,2249.6,281.2,1.4603322930773075
8,2340.8,292.6,1.6019161436490317
8,2432.0,304.0,1.7836210046595644
8,2584.0,323.0,2.1699407012970116
8,2736.0,342.0,3.0697440620607748
8,2888.0,361.0,4.31720978113005
8,3040.0,380.0,6.273983880734767
8,3192.0,399.0,8.968602061501116
8,3344.0,418.0,12.766009679323481
8,3496.0,437.0,17.56086093027361
8,3648.0,456.0,23.751200230391287
16,672.0,42.0,0.25493067389831714
16,1344.0,84.0,0.29055777702926544
16,2016.0,126.0,0.3444895433877131
16,2688.0,168.0,0.3842672558713109
16,3360.0,210.0,0.5254022245481001
16,3561.6000000000004,222.60000000000002,0.6115504721002151
16,3763.2000000000003,235.20000000000002,0.7103844273607278
16,3964.8,247.8,0.83336145635083
16,4166.400000000001,260.40000000000003,0.9085116389120238
16,4368.0,273.0,0.8839853929893866
16,4569.6,285.6,0.859935619989114
16,4771.200000000001,298.20000000000005,0.840558036963446
16,4972.8,310.8,0.8249834402139413
16,5174.400000000001,323.40000000000003,0.8089606999474823
16,5376.0,336.0,0.8164363993470228
16,5712.0,357.0,0.8418161262217759
16,6048.0,378.0,1.176110056417035
16,6384.0,399.0,1.753375836779614
16,6720.0,420.0,3.1437031119257144
16,7056.0,441.0,5.632739043891915
16,7392.0,462.0,9.431132279395456
16,7728.0,483.0,14.562849771668876
16,8064.0,504.0,21.374742407523836
32,1376.0,43.0,0.24009263273139164
32,2752.0,86.0,0.24176945194452587
32,4128.0,129.0,0.2507392633694218
32,5504.0,172.0,0.24720187724931122
32,6880.0,215.0,0.24969365239614982
32,7292.800000000001,227.90000000000003,0.25011177125902717
32,7705.6,240.8,0.25094566835240395
32,8118.400000000001,253.70000000000002,0.2514554110123855
32,8531.2,266.6,0.2571412907339502
32,8944.0,279.5,0.2741490901343311
32,9356.800000000001,292.40000000000003,0.31944488201014626
32,9769.6,305.3,0.37354992647944607
32,10182.4,318.2,0.436198295155609
32,10595.2,331.1,0.44519690515969035
32,11008.0,344.0,0.44813074371706196
32,11696.0,365.5,0.4744968330214346
32,12384.0,387.0,0.5199275673241625
32,13072.0,408.5,0.7489882482443744
32,13760.0,430.0,1.6082606981894116
32,14448.0,451.5,4.037756693545573
32,15136.0,473.0,8.175240332833884
32,15824.0,494.5,14.747744508362237
32,16512.0,516.0,23.242605885575202
64,2720.0,42.5,0.2390357375861589
64,5440.0,85.0,0.2371479867323208
64,8160.0,127.5,0.2377597112566163
64,10880.0,170.0,0.24161519684312735
64,13600.0,212.5,0.24165555946568829
64,14416.000000000002,225.25000000000003,0.24226027008696172
64,15232.000000000002,238.00000000000003,0.24280264976827207
64,16048.000000000002,250.75000000000003,0.2436264065756541
64,16864.0,263.5,0.24619953517595003
64,17680.0,276.25,0.2486378153155193
64,18496.000000000004,289.00000000000006,0.25152846330756334
64,19312.0,301.75,0.2560692322024929
64,20128.0,314.5,0.2623357361519648
64,20944.0,327.25,0.2732827852792296
64,21760.0,340.0,0.28210727160145604
64,23120.0,361.25,0.3157228482668724
64,24480.0,382.5,0.41272843066379317
64,25840.0,403.75,0.8027045187370642
64,27200.0,425.0,2.1734366548863853
64,28560.0,446.25,5.471030437855057
64,29920.0,467.5,10.512761322418921
64,31280.0,488.75,16.89052651412007
64,32640.0,510.0,24.378260709161882
128,5440.0,42.5,0.2374319689794733
128,10880.0,85.0,0.2379400133983873
128,16320.0,127.5,0.23758701611043673
128,21760.0,170.0,0.23766810911378627
128,27200.0,212.5,0.23886354061012083
128,28832.000000000004,225.25000000000003,0.2400744506853651
128,30464.000000000004,238.00000000000003,0.24118274641045326
128,32096.000000000004,250.75000000000003,0.24258334012628846
128,33728.0,263.5,0.2450201095416311
128,35360.0,276.25,0.24999138479783084
128,36992.00000000001,289.00000000000006,0.256525260602837
128,38624.0,301.75,0.25961050629614824
128,40256.0,314.5,0.26350790975756605
128,41888.0,327.25,0.2688817703178723
128,43520.0,340.0,0.2845814989129301
128,46240.0,361.25,0.3105086158286898
128,48960.0,382.5,0.3725858414023684
128,51680.0,403.75,0.6286678258132337
128,54400.0,425.0,1.7681244089488646
128,57120.0,446.25,4.76465422870335
128,59840.0,467.5,9.69200187125323
128,62560.0,488.75,16.93336479581653
128,65280.0,510.0,24.496168217085163
